,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late
149,257,3,absolute,2D,1,positive,2D-N,5,0.65625,0.843477374701,0.78140187156,1.32578448277,0,1.75,3.5,0.0
150,257,3,absolute,2D,1,positive,2D-N,6,0.59375,1.48321349828,1.28875913345,1.32578448277,0,1.75,3.5,0.0
151,257,3,absolute,2D,1,positive,2D-N,7,0.625,1.3793470068,1.35327855404,1.32578448277,0,1.75,3.5,0.0
152,258,2,relative,2D,1,positive,2D-N,0,0.875,0.494638708182,0.407319574416,0.533232237858,5,7.0,6.75,7.25
153,258,2,relative,2D,1,positive,2D-N,1,0.90625,0.850483271381,0.486746891427,0.533232237858,11,7.0,6.75,7.25
154,258,2,relative,2D,1,positive,2D-N,2,1.0,0.627628549229,0.491227406746,0.533232237858,7,7.0,6.75,7.25
155,258,2,relative,2D,1,positive,2D-N,3,1.0,1.05322658955,0.965754710941,0.533232237858,4,7.0,6.75,7.25
156,258,2,relative,2D,1,positive,2D-N,4,1.0,1.036526487,0.745802140756,0.533232237858,7,7.0,6.75,7.25
157,258,2,relative,2D,1,positive,2D-N,5,0.9375,0.757156173893,0.407319574416,0.533232237858,7,7.0,6.75,7.25
158,258,2,relative,2D,1,positive,2D-N,6,0.96875,0.661588818746,0.407319574416,0.533232237858,8,7.0,6.75,7.25
159,258,2,relative,2D,1,positive,2D-N,7,1.0,0.815504702928,0.354368029742,0.533232237858,7,7.0,6.75,7.25
160,259,3,absolute,2D,1,negative,2D-N,0,0.5625,0.854719394955,1.00428714268,1.33201647226,14,12.0,11.75,12.25
161,259,3,absolute,2D,1,negative,2D-N,1,0.625,1.42305239714,1.09063889246,1.33201647226,11,12.0,11.75,12.25
162,259,3,absolute,2D,1,negative,2D-N,2,0.625,1.54964732087,1.42692193309,1.33201647226,10,12.0,11.75,12.25
163,259,3,absolute,2D,1,negative,2D-N,3,0.5625,1.513151487,1.40313446995,1.33201647226,12,12.0,11.75,12.25
164,259,3,absolute,2D,1,negative,2D-N,4,0.5,1.39107781055,1.31906370979,1.33201647226,10,12.0,11.75,12.25
165,259,3,absolute,2D,1,negative,2D-N,5,0.5,1.79269491092,1.95122368928,1.33201647226,15,12.0,11.75,12.25
166,259,3,absolute,2D,1,negative,2D-N,6,0.59375,1.43185049995,1.20696936291,1.33201647226,14,12.0,11.75,12.25
167,259,3,absolute,2D,1,negative,2D-N,7,0.71875,1.42916219075,1.25389257788,1.33201647226,10,12.0,11.75,12.25
168,260,0,relative,1D,0,positive,1D-C,0,0.46875,1.25425,1.4,1.1455,7,0.875,1.75,0.0
169,260,0,relative,1D,0,positive,1D-C,1,0.78125,1.0776875,1.0145,1.1455,0,0.875,1.75,0.0
170,260,0,relative,1D,0,positive,1D-C,2,0.8125,1.232625,1.3675,1.1455,0,0.875,1.75,0.0
171,260,0,relative,1D,0,positive,1D-C,3,0.71875,0.9346875,0.7315,1.1455,0,0.875,1.75,0.0
172,260,0,relative,1D,0,positive,1D-C,4,0.875,1.098125,1.286,1.1455,0,0.875,1.75,0.0
173,260,0,relative,1D,0,positive,1D-C,5,0.8125,0.9564375,0.993,1.1455,0,0.875,1.75,0.0
174,260,0,relative,1D,0,positive,1D-C,6,0.8125,1.2164375,1.244,1.1455,0,0.875,1.75,0.0
175,260,0,relative,1D,0,positive,1D-C,7,0.8125,1.0136875,1.1275,1.1455,0,0.875,1.75,0.0
